fromAccount,amount,currency,transactionID,toAccount,dateTime
00769944,69.11,USD,703780041205,00287908,2021-09-23 06:02:14
00769944,40.52,USD,725419100437,00427201,2021-09-22 23:28:45
00769944,32234.65,USD,274278284633,00400554,2021-08-02 03:18:47
00769944,9.62,USD,284109246283,00905668,2021-08-01 19:21:22
00769944,7.74,USD,404480302878,00830409,2021-09-07 17:35:23
00769944,8.98,USD,554719322342,00356823,2021-09-07 02:57:00
00769944,22626.84,USD,679167094839,00125261,2021-09-04 09:00:06
00769944,993.00,USD,308126952632,00170914,2021-08-19 21:06:14
00769944,8367.15,USD,221629641324,00770509,2021-08-14 16:41:23
00769944,1366.12,USD,725106934167,00463500,2021-07-06 05:00:19
00769944,32.44,USD,857684570647,00777572,2021-08-06 20:27:37
00769944,29865.51,USD,749951729556,00129456,2021-08-13 07:47:51
00769944,26.74,USD,529970165697,00477798,2021-07-12 21:47:20
00769944,3583.18,USD,929838975291,00363301,2021-09-14 07:11:03
00769944,1.29,USD,107871025730,00222658,2021-09-09 03:35:06
00769944,25014.49,USD,831934311554,00871494,2021-08-05 10:06:16
00769944,1136.00,USD,151204382272,00639673,2021-07-17 02:20:28
00769944,7.75,USD,523852292789,00258762,2021-08-05 22:08:03
00769944,26.92,USD,513437680244,00109071,2021-08-01 02:55:03
00769944,37.25,USD,320880908164,00967799,2021-09-20 12:45:34
00769944,1.24,USD,434603744518,00985418,2021-08-24 13:07:50
00769944,9176.56,USD,255872458301,00364903,2021-07-07 00:30:37
00769944,711.28,USD,449119917619,00174302,2021-09-25 22:18:33
00769944,71085.77,USD,472552301553,00462979,2021-09-07 15:01:15
00769944,10666.02,USD,609785382572,00772632,2021-08-09 15:21:57
00769944,6865.69,USD,880261372994,00458438,2021-08-01 23:06:56
00769944,188.40,USD,201930446981,00207637,2021-09-11 14:20:38
00769944,52.99,USD,766704448838,00714059,2021-08-22 07:41:34
00769944,4415.18,USD,683983462764,00167957,2021-07-17 11:23:18
00769944,3543.13,USD,232835290094,00383378,2021-07-06 03:25:09
00769944,3.87,USD,144972093402,00468526,2021-08-05 02:36:56
00769944,518.00,USD,959376447171,00582506,2021-08-17 23:30:16
00769944,999.83,USD,161487210350,00274569,2021-09-22 04:04:11
00769944,6098.27,USD,466244918518,00259759,2021-08-26 13:46:27
00769944,40.58,USD,827927539926,00112495,2021-09-12 08:32:18
00769944,36.64,USD,608505130875,00234534,2021-09-04 08:14:02
00769944,80515.20,USD,915827666172,00999714,2021-08-20 00:47:48
00769944,6988.57,USD,356793404716,00454091,2021-07-13 12:01:22
00769944,154.22,USD,932549568211,00982486,2021-07-21 04:58:52
00769944,25660.10,USD,381597276271,00866042,2021-09-26 15:24:06
018651177,75.87,USD,937366439778,00769944,2021-09-21 09:51:32
030840891,4.55,USD,693688971584,00769944,2021-08-29 09:25:50
059343125,8394.49,USD,707205152190,00769944,2021-08-27 17:35:08
055796950,7701.39,USD,708365965477,00769944,2021-08-10 19:13:43
041559641,1532.00,USD,613934746456,00769944,2021-08-23 09:02:33
016282710,826.82,USD,384642326368,00769944,2021-08-21 05:49:39
025352752,6.09,USD,978612486187,00769944,2021-09-22 19:20:10
020086253,7448.62,USD,169242384481,00769944,2021-08-22 17:31:47
092814352,3453.47,USD,328736094769,00769944,2021-07-12 01:04:51
084438754,89748.76,USD,333297318042,00769944,2021-07-13 05:27:57
076314310,7.86,USD,837352689353,00769944,2021-07-24 04:26:10
051027971,7.33,USD,825307659828,00769944,2021-08-29 08:58:40
013683730,7.18,USD,547465247867,00769944,2021-07-29 18:26:55
029106804,3943.44,USD,894087260805,00769944,2021-09-26 15:47:27
047466804,327.26,USD,685180951314,00769944,2021-07-03 18:02:36
021402621,25833.62,USD,166110369927,00769944,2021-07-19 03:40:35
020930268,649.86,USD,230787924610,00769944,2021-08-01 15:56:08
015019385,56391.49,USD,729954447327,00769944,2021-09-26 16:50:25
028824655,2732.01,USD,160531327999,00769944,2021-09-28 07:42:16
038177304,4.05,USD,595976074937,00769944,2021-08-18 08:30:12
028979789,8265.58,USD,536788213639,00769944,2021-07-12 07:55:06
087123898,42.25,USD,955524991591,00769944,2021-09-03 23:39:41
038988455,3.27,USD,547128729683,00769944,2021-07-09 07:01:21
097325147,139.85,USD,381847299702,00769944,2021-08-13 07:57:44
067445226,8044.68,USD,840437782473,00769944,2021-07-16 00:14:33
018695118,9934.55,USD,525403705246,00769944,2021-09-12 09:14:47
012449052,1468.79,USD,818584491998,00769944,2021-09-01 20:17:36
098538122,49.84,USD,428886190728,00769944,2021-08-21 09:12:21
022866574,87626.89,USD,812684882715,00769944,2021-07-06 23:40:13
092663961,6.69,USD,653967451474,00769944,2021-09-06 08:05:10
037991300,45.43,USD,952460028905,00769944,2021-08-12 00:43:33
055272249,314.78,USD,569174403809,00769944,2021-07-13 20:24:26
091907622,6.18,USD,680763663442,00769944,2021-09-10 19:47:10
059224565,591.96,USD,949339678750,00769944,2021-07-24 04:10:02
015655564,72199.11,USD,414355720323,00769944,2021-07-05 00:51:17
091266715,7.09,USD,484371978397,00769944,2021-09-16 05:26:01
040299337,51554.08,USD,596598233905,00769944,2021-09-20 00:39:35
082793369,1338.16,USD,342357001855,00769944,2021-09-29 22:42:52
021501719,94133.08,USD,316861998205,00769944,2021-09-03 10:42:15
029482144,9.02,USD,102433826239,00769944,2021-07-07 06:31:48
030070230,4.32,USD,395056308583,00769944,2021-07-20 01:42:35
029076111,3100.59,USD,683327901375,00769944,2021-08-10 23:09:16
058915629,592.55,USD,604482119587,00769944,2021-07-17 21:02:00
056139061,8.57,USD,142556797926,00769944,2021-08-21 14:30:29
077571401,53.59,USD,496230894994,00769944,2021-07-15 15:59:45
020384419,23850.27,USD,350728415871,00769944,2021-08-15 10:11:51
062684533,12250.95,USD,477081441939,00769944,2021-07-12 19:03:06
086042906,8617.71,USD,863133700500,00769944,2021-09-10 19:10:20
078984035,74.44,USD,914165874551,00769944,2021-08-08 05:17:12
087457384,62871.08,USD,321469158584,00769944,2021-07-21 13:38:16
054069870,7752.59,USD,165217259597,00769944,2021-08-27 11:24:12
066422510,604.84,USD,440853038092,00769944,2021-08-09 06:31:13
061601323,66921.73,USD,212439127606,00769944,2021-09-09 17:32:07
025040088,882.82,USD,936257943747,00769944,2021-09-11 09:31:27
072012540,47382.36,USD,676934926791,00769944,2021-09-16 01:56:53
073037918,90433.36,USD,316033643458,00769944,2021-08-15 23:39:59
098775153,48175.41,USD,199668963581,00769944,2021-08-08 07:10:20
024504622,742.02,USD,349724753288,00769944,2021-08-04 10:51:21
060934692,40275.63,USD,189216781263,00769944,2021-07-05 13:55:36
074113032,9.50,USD,678755649765,00769944,2021-07-21 23:49:36
067366406,2895.60,USD,456758505422,00769944,2021-09-12 12:27:26
050743807,714.13,USD,434739734904,00769944,2021-09-29 12:23:10
013028315,922.85,USD,948172500836,00769944,2021-09-12 17:24:22
054637860,6.09,USD,658965246350,00769944,2021-09-02 17:30:38
039046266,454.74,USD,492053414969,00769944,2021-07-10 02:12:45
020388811,102.74,USD,602722558478,00769944,2021-08-06 07:48:47
028620856,7.10,USD,425580050028,00769944,2021-08-22 22:37:38
045749122,2.03,USD,171167593455,00769944,2021-09-21 06:44:26
089398918,78.33,USD,327211590932,00769944,2021-09-20 06:20:22
032871546,612.55,USD,358408864829,00769944,2021-07-12 00:42:54
019249890,91.22,USD,614488090466,00769944,2021-08-30 18:29:48
